method,clean_acc,pgd10_acc,ece_clean,ece_adv
ERM (baseline),0.9279,0.0381,0.04407999008297918,0.951529813811183
ERM + Temp. Scaling,0.9279,0.0381,0.03730129633247855,0.951798804423213
ERM + CRL,0.9229,0.067,0.018493218708038314,0.892499107837677
Madry (adv. train),0.9065,0.7598,0.027890973424911533,0.13970444333851337
CCAT,0.1594,0.0341,0.09462863538265229,0.21472479298114777
